,index,budget,genres,id,original_language,popularity,production_countries,runtime,spoken_languages,video,vote_average,vote_count,duration,director,production_company,actors,year,month,day,x,revenue
338,5,0.0,1.0,18633.0,1.0,10.627974,1.0,96.0,1.0,1.0,5.5,22.0,102.0,0.0,1.0,3,2007.0,2.0,10.0,3,6577990.834478972
339,468,0.0,2.0,21371.0,1.0,1.714522,1.0,91.0,2.0,1.0,6.6,22.0,91.0,0.0,1.0,3,2008.0,8.0,9.0,3,4109914.9665041408
340,507,0.0,1.0,127372.0,1.0,6.159679,1.0,105.0,2.0,1.0,6.1,99.0,99.0,0.0,1.0,3,2012.0,9.0,14.0,3,10533307.554359471
341,64,0.0,9.0,18441.0,1.0,0.946641,1.0,107.0,1.0,1.0,4.4,17.0,107.0,0.0,1.0,3,2007.0,10.0,28.0,3,9036018.847258314
342,605,7500000.0,29.0,326284.0,1.0,5.135262,8.0,104.0,1.0,1.0,5.4,64.0,104.0,0.0,1.0,3,2015.0,5.0,7.0,3,12381571.912718834
343,1218,0.0,1.0,104711.0,5.0,1.691429,7.0,109.0,2.0,1.0,6.6,15.0,109.0,0.0,1.0,3,2011.0,11.0,17.0,3,3188264.3796823877
344,346,17000000.0,1.0,73499.0,1.0,5.498819,1.0,98.0,1.0,1.0,5.8,226.0,98.0,0.0,1.0,3,2011.0,10.0,27.0,3,27402601.773639616
345,150,1500000.0,20.0,10910.0,1.0,1.4378030000000002,2.0,119.0,1.0,1.0,6.5,17.0,119.0,1.0,1.0,3,1952.0,12.0,23.0,3,6749069.365721789
346,694,0.0,3.0,30278.0,1.0,4.772901,2.0,106.0,1.0,1.0,6.5,13.0,106.0,0.0,1.0,3,1984.0,10.0,10.0,3,4512633.327888692
347,969,0.0,2.0,128073.0,1.0,0.0658,1.0,99.0,1.0,1.0,5.5,10.0,99.0,1.0,1.0,3,2012.0,9.0,9.0,3,3820296.5657098847
348,927,0.0,2.0,8414.0,1.0,3.518929,8.0,84.0,1.0,1.0,6.4,47.0,90.0,0.0,1.0,3,2007.0,1.0,20.0,3,8434384.271331783
349,126,0.0,3.0,9776.0,1.0,3.3632449999999996,1.0,95.0,1.0,1.0,5.3,71.0,95.0,1.0,11.0,3,2003.0,1.0,1.0,3,18804278.076191507
350,573,0.0,2.0,59346.0,2.0,0.48251000000000005,6.0,94.0,5.0,1.0,6.5,10.0,128.0,0.0,1.0,3,2007.0,11.0,7.0,3,1991650.385993687
351,592,0.0,3.0,15271.0,1.0,2.466442,2.0,106.0,1.0,1.0,6.1,22.0,102.0,0.0,1.0,3,2003.0,5.0,16.0,3,3083735.885887574
352,264,0.0,2.0,201018.0,2.0,2.189812,6.0,102.0,5.0,1.0,6.3,25.0,134.0,0.0,4.0,3,2013.0,7.0,10.0,3,6756667.007224318
353,909,784170.0,1.0,111960.0,1.0,0.5784560000000001,2.0,80.0,1.0,1.0,6.8,6.0,96.0,0.0,1.0,3,1948.0,4.0,6.0,3,4183668.558471341
354,1091,0.0,1.0,409297.0,1.0,13.411614,20.0,100.0,1.0,1.0,6.4,69.0,100.0,0.0,1.0,3,2016.0,10.0,14.0,3,10602107.8915725
355,57,0.0,1.0,31524.0,1.0,0.823247,4.0,162.0,4.0,1.0,7.2,21.0,174.0,0.0,1.0,3,1999.0,4.0,30.0,3,8396561.231783222
356,531,0.0,13.0,48431.0,5.0,0.09851,3.0,0.0,3.0,1.0,7.0,1.0,98.0,0.0,1.0,3,2005.0,3.0,9.0,3,2056487.5503231215
357,957,65000000.0,1.0,5551.0,1.0,7.457610000000001,1.0,130.0,1.0,1.0,6.3,407.0,130.0,1.0,1.0,3,2000.0,7.0,31.0,3,89246065.26666667
358,399,2400000.0,7.0,13621.0,4.0,0.990967,23.0,89.0,2.0,1.0,6.0,3.0,104.0,0.0,1.0,3,2007.0,10.0,26.0,3,2282483.4036817686
359,202,12000000.0,16.0,327.0,9.0,8.134524,1.0,114.0,2.0,1.0,6.8,107.0,96.0,0.0,1.0,3,2000.0,9.0,9.0,3,32744377.134366523
